"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
জে-কেডস,R-102,,0,
জে-কেডস,R-102,,0,
জে-কেডস,R-102,,0,
জে-কেডস,R-102,,2,
জে-কেডস,R-102,,1,
জে-কেডস,R-101,,1,
জে-কেডস,R-101,,2,
জে-কেডস,R-101,,1,
জে-কেডস,R-101,,0,
জে-কেডস,R-101,,1,
জে-কেডস,R-105,,1,
জে-কেডস,R-105,,0,
জে-কেডস,R-105,,1,
জে-কেডস,R-105,,0,
জে-কেডস,R-105,,2,
জে-কেডস,R-106,,1,
জে-কেডস,R-106,,1,
জে-কেডস,R-106,,1,
জে-কেডস,R-106,,2,
জে-কেডস,R-106,,1,
জে-কেডস,R-107,,2,
জে-কেডস,R-107,,1,
জে-কেডস,R-107,,1,
জে-কেডস,R-107,,1,
জে-কেডস,R-107,,1,
জে-কেডস,R-108,,1,
জে-কেডস,R-108,,0,
জে-কেডস,R-108,,1,
জে-কেডস,R-108,,1,
জে-কেডস,R-108,,1,
জে-কেডস,R-109,,0,
জে-কেডস,R-109,,0,
জে-কেডস,R-109,,2,
জে-কেডস,R-109,,0,
জে-কেডস,R-109,,0,
জে-কেডস,R-10A,,1,
জে-কেডস,R-10A,,0,
জে-কেডস,R-10A,,0,
জে-কেডস,R-10A,,0,
জে-কেডস,R-10A,,0,
জে-কেডস,R-10B,,0,
জে-কেডস,R-10B,,0,
জে-কেডস,R-10B,,0,
জে-কেডস,R-10B,,0,
জে-কেডস,R-10D,,0,
জে-কেডস,R-10D,,0,
জে-কেডস,R-10D,,0,
জে-কেডস,R-10D,,0,
জে-কেডস,R-10D,,0,
জে-কেডস,R-10E,,0,
জে-কেডস,R-10E,,2,
জে-কেডস,R-10E,,0,
জে-কেডস,R-10E,,1,
জে-কেডস,R-10E,,1,
জে-কেডস,R-10F,,-1,
জে-কেডস,R-10F,,0,
জে-কেডস,R-10F,,0,
জে-কেডস,R-10F,,1,
জে-কেডস,R-10F,,0,
জে-কেডস,R-110,,0,
জে-কেডস,R-110,,1,
জে-কেডস,R-110,,0,
জে-কেডস,R-110,,0,
জে-কেডস,R-110,,0,
জে-কেডস,R-111,,1,
জে-কেডস,R-111,,1,
জে-কেডস,R-111,,2,
জে-কেডস,R-111,,0,
জে-কেডস,R-111,,1,
জে-কেডস,R-112,,0,
জে-কেডস,R-112,,0,
জে-কেডস,R-112,,0,
জে-কেডস,R-112,,1,
জে-কেডস,R-112,,1,
Ladies-Keds,R-113,,1,
Ladies-Keds,R-113,,2,
Ladies-Keds,R-113,,1,
Ladies-Keds,R-113,,0,
Ladies-Keds,R-113,,0,
Ladies-Keds,R-114,,1,
Ladies-Keds,R-114,,0,
Ladies-Keds,R-114,,2,
Ladies-Keds,R-114,,0,
Ladies-Keds,R-114,,0,
জেন্টস-কেডস,R-115,,0,
জেন্টস-কেডস,R-115,,1,
জেন্টস-কেডস,R-115,,0,
জেন্টস-কেডস,R-115,,0,
জেন্টস-কেডস,R-115,,2,
Ladies-Keds,R-117,,0,
Ladies-Keds,R-117,,0,
Ladies-Keds,R-117,,1,
Ladies-Keds,R-117,,0,
Ladies-Keds,R-117,,0,
Ladies-Keds,R-118,,1,
Ladies-Keds,R-118,,2,
Ladies-Keds,R-118,,2,
Ladies-Keds,R-118,,0,
